root@segotl2596# hammer -c /etc/vit/hammer.yml subscription list --organization="ORG"
---|----------------------------------|--------------------------------------------------------------------------------|----------|---------|---------|-----------|----------|------------------------------|-----------|---------
ID | UUID                             | NAME                                                                           | CONTRACT | ACCOUNT | SUPPORT | QUANTITY  | CONSUMED | END DATE                     | QUANTITY  | ATTACHED
---|----------------------------------|--------------------------------------------------------------------------------|----------|---------|---------|-----------|----------|------------------------------|-----------|---------
35 | 19f0b5cf5a5beb0c015a5c023a920002 | EPEL                                                                           |          |         |         | Unlimited | 192      | 2047-02-13T14:52:14.089+0000 | Unlimited | 192
34 | 19f0b5cf5a5beb0c015a5c236f52000a | prd-lcs_dev                                                                    |          |         |         | Unlimited | 13       | 2047-02-13T15:28:29.992+0000 | Unlimited | 13
10 | 19f0b5cf5a5beb0c015a5c23d4ef0010 | prd-lcs_qa                                                                     |          |         |         | Unlimited | 9        | 2047-02-13T15:28:56.361+0000 | Unlimited | 9
36 | 19f0b5cf5a5beb0c015a5c242b260016 | prd-lcs_prod                                                                   |          |         |         | Unlimited | 39       | 2047-02-13T15:29:18.369+0000 | Unlimited | 39
20 | 19f0b5cf5a84d299015a85013a250176 | Red Hat Satellite and Capsule Server for Cloud Providers                       | 11317453 | 1102946 | Premium | 4         | 4        | 2018-12-16T04:59:59.000+0000 | 4         | 4
21 | 19f0b5cf5a84d299015a85013a750196 | Red Hat Satellite - Add-Ons for Providers                                      | 11317453 | 1102946 | Premium | 200       | 98       | 2018-12-16T04:59:59.000+0000 | 200       | 98
27 | 19f0b5cf5a933e1a015a939bece10006 | Red Hat Satellite - Add-Ons for Providers                                      | 11317453 | 1102946 | Premium | 4000      | 6        | 2018-12-16T04:59:59.000+0000 | 4000      | 6
26 | 19f0b5cf5a933e1a015a939cc3e10053 | Red Hat Satellite - Add-Ons for Providers                                      | 11317453 | 1102946 | Premium | 4000      | 5        | 2018-12-16T04:59:59.000+0000 | 4000      | 5
25 | 19f0b5cf5a933e1a015a939d80d2009f | Red Hat Satellite - Add-Ons for Providers                                      | 11317453 | 1102946 | Premium | 4000      | 9        | 2018-12-16T04:59:59.000+0000 | 4000      | 9
24 | 19f0b5cf5a933e1a015a939e062c00ec | Red Hat Satellite - Add-Ons for Providers                                      | 11317453 | 1102946 | Premium | 4000      | 4        | 2018-12-16T04:59:59.000+0000 | 4000      | 4
28 | 19f0b5cf5a933e1a015a93ac7b9e02b5 | Red Hat OpenShift Container Platform for Certified Cloud and Service Providers | 11317453 | 1102946 | Premium | 80        | 79       | 2018-12-16T04:59:59.000+0000 | 80        | 79
31 | 19f0b5cf5ab776e3015aead7acc00755 | Red Hat Enterprise Virtualization for Servers, Premium (4000 Sockets)          | 11317453 | 1102946 | Premium | 10        | 6        | 2018-12-16T04:59:59.000+0000 | 10        | 6
32 | 19f0b5cf5ab776e3015b1fccf4650fad | Red Hat Satellite - Add-Ons for Providers                                      | 11317453 | 1102946 | Premium | 4000      | 3        | 2018-12-16T04:59:59.000+0000 | 4000      | 3
